country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","06-04-2025 22:00:00",11.654054,92.734055,PM10,6,45,20
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","06-04-2025 22:00:00",11.654054,92.734055,SO2,2,42,17
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","06-04-2025 22:00:00",11.654054,92.734055,OZONE,3,9,6
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","06-04-2025 22:00:00",16.5150833,80.5181667,PM10,17,72,39
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","06-04-2025 22:00:00",16.5150833,80.5181667,OZONE,1,64,39
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","06-04-2025 22:00:00",14.675886,77.593027,NO2,28,59,38
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)","06-04-2025 22:00:00",13.67,79.35,NH3,1,1,1
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","06-04-2025 22:00:00",13.615387,79.409230,OZONE,41,41,41
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","06-04-2025 22:00:00",16.536107,80.594233,PM2.5,47,65,54
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","06-04-2025 22:00:00",14.675886,77.593027,NH3,6,15,9
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","06-04-2025 22:00:00",14.675886,77.593027,CO,10,16,15
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","06-04-2025 22:00:00",13.204880,79.097889,PM2.5,37,96,62
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","06-04-2025 22:00:00",13.204880,79.097889,OZONE,30,49,37
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","06-04-2025 22:00:00",14.465052,78.824187,CO,34,36,35
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","06-04-2025 22:00:00",16.9872867,81.7363176,PM2.5,18,73,40
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","06-04-2025 22:00:00",16.536107,80.594233,CO,11,25,14
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","06-04-2025 22:00:00",16.536107,80.594233,OZONE,1,44,22
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)","06-04-2025 22:00:00",13.67,79.35,PM10,22,89,49
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","06-04-2025 22:00:00",16.509717,80.612222,OZONE,6,27,17
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","06-04-2025 22:00:00",16.554731,80.649110,OZONE,33,72,38
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","06-04-2025 22:00:00",17.72,83.3,OZONE,8,14,11
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","06-04-2025 22:00:00",14.465052,78.824187,NH3,4,5,5
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","06-04-2025 22:00:00",25.251013,86.989001,NH3,2,4,2
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","06-04-2025 22:00:00",25.265194,87.012947,CO,20,40,28
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","06-04-2025 22:00:00",25.265194,87.012947,OZONE,3,26,13
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","06-04-2025 22:00:00",25.567520,83.966379,NO2,4,5,5
India,Assam,Guwahati,"IITG, Guwahati - PCBA","06-04-2025 22:00:00",26.2028636,91.70046436,NO2,1,8,1
India,Assam,Guwahati,"IITG, Guwahati - PCBA","06-04-2025 22:00:00",26.2028636,91.70046436,SO2,19,20,19
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","06-04-2025 22:00:00",26.10887,91.589544,PM2.5,38,193,91
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","06-04-2025 22:00:00",26.10887,91.589544,NH3,15,23,17
